title,miles,location,price,url
2026 Chevrolet Silverado 2500HD Work Truck,3 Miles,"Layton, UT","$53,521",https://cars.ksl.com/listing/10329783
2026 Chevrolet Silverado 2500HD Work Truck,10 Miles,"Layton, UT","$51,802",https://cars.ksl.com/listing/10329781
2026 Chevrolet Silverado 2500HD LT,5 Miles,"Layton, UT","$64,800",https://cars.ksl.com/listing/10329780
2005 Chevrolet Silverado 2500HD LT,"85,000 Miles","Price, UT","$12,000",https://cars.ksl.com/listing/10406121
2022 GMC Sierra Denali,"91,003 Miles","Centerville, UT","$36,997",https://cars.ksl.com/listing/10400919
2022 GMC Sierra SLE,"34,446 Miles","Woods Cross, UT","$29,300",https://cars.ksl.com/listing/10400854
2003 Chevrolet Silverado 2500HD LT,"113,026 Miles","Spanish Fork, UT","$16,995",https://cars.ksl.com/listing/10400370
2005 Chevrolet Silverado 2500HD LS,"126,274 Miles","Springville, UT","$23,000",https://cars.ksl.com/listing/10252310
2004 Chevrolet Silverado 2500HD K2500 HEAVY DUTY LTZ,"202,680 Miles","Heber, UT","$9,000",https://cars.ksl.com/listing/10398803
2004 Chevrolet Silverado 2500HD,"217,000 Miles","Ammon, ID","$4,500",https://cars.ksl.com/listing/10398531
2011 Chevrolet Silverado 2500HD LT,"118,620 Miles","Hurricane, UT","$17,977",https://cars.ksl.com/listing/9942208
2019 GMC Sierra SLE,"78,232 Miles","Murray, UT","$19,999",https://cars.ksl.com/listing/10374938
2021 Chevrolet Silverado 2500HD Custom,,,"$45,000",https://cars.ksl.com/listing/10398045
2024 Chevrolet Silverado 2500HD LT,,,"$48,300",https://cars.ksl.com/listing/10173086
2022 GMC Sierra Denali,"52,005 Miles","Orem, UT","$34,999",https://cars.ksl.com/listing/10397970
2024 Chevrolet Silverado 2500HD High Country,"18,181 Miles","Las Vegas, NV","$58,000",https://cars.ksl.com/listing/10336968
2025 Chevrolet Silverado 2500HD Work Truck,5 Miles,"American Fork, UT","$52,845",https://cars.ksl.com/listing/10387014
2002 Chevrolet Silverado 2500HD LT,,,"$11,000",https://cars.ksl.com/listing/10342325
2013 Chevrolet Silverado 2500HD LT,"137,813 Miles","Millcreek, UT","$19,990",https://cars.ksl.com/listing/10396443
2010 GMC 2500 Work Truck,,,"$28,495",https://cars.ksl.com/listing/10288741
2026 Chevrolet Silverado 2500HD ZR2,9 Miles,"American Fork, UT","$77,125",https://cars.ksl.com/listing/10388606
2011 Chevrolet Silverado 2500HD,"239,000 Miles","Richfield, UT","$7,500",https://cars.ksl.com/listing/10345024
2024 Chevrolet Silverado 2500HD LT,,,"$43,000",https://cars.ksl.com/listing/10370744
2005 Chevrolet Silverado 2500HD LT,"85,000 Miles","Price, UT","$12,000",https://cars.ksl.com/listing/10406121
2022 Chevrolet Silverado 2500HD Work Truck,"37,357 Miles","Draper, UT","$39,900",https://cars.ksl.com/listing/10373418
2007 Chevrolet Silverado 2500HD,,,"$13,800",https://cars.ksl.com/listing/9930271
2024 Chevrolet Silverado 2500HD Work Truck,"58,019 Miles","Payson, UT","$34,950",https://cars.ksl.com/listing/10340061
2013 Chevrolet Silverado 2500HD LT,"164,797 Miles","North Logan, UT","$14,900",https://cars.ksl.com/listing/10394574
2013 GMC 2500 SLE,"188,041 Miles","Pocatello, ID","$13,900",https://cars.ksl.com/listing/10257492
2013 GMC 2500,"243,000 Miles","Orem, UT","$8,500",https://cars.ksl.com/listing/10373645
2025 Chevrolet Silverado 2500HD Work Truck,5 Miles,"American Fork, UT","$52,845",https://cars.ksl.com/listing/10387016
2025 Chevrolet Silverado 2500HD Work Truck,5 Miles,"American Fork, UT","$52,845",https://cars.ksl.com/listing/10387017
2025 Chevrolet Silverado 2500HD Work Truck,5 Miles,"American Fork, UT","$52,845",https://cars.ksl.com/listing/10387013
2020 Chevrolet Silverado 2500HD LT,,,"$32,382",https://cars.ksl.com/listing/10150448
2004 Chevrolet Silverado 2500HD LT,"153,592 Miles","Hyde Park, UT","$9,999",https://cars.ksl.com/listing/10371277
2004 Chevrolet Silverado 2500 LS,"214,000 Miles","Mount Pleasant, UT","$12,750",https://cars.ksl.com/listing/10297635
2004 GMC 2500 SLT,"188,300 Miles","Kuna, ID","$10,900",https://cars.ksl.com/listing/10391567
2026 Chevrolet Silverado 2500HD Work Truck,5 Miles,"American Fork, UT","$53,195",https://cars.ksl.com/listing/10388616
2026 Chevrolet Silverado 2500HD Work Truck,5 Miles,"American Fork, UT","$53,195",https://cars.ksl.com/listing/10388592
2026 Chevrolet Silverado 2500HD Work Truck,5 Miles,"American Fork, UT","$53,195",https://cars.ksl.com/listing/10388591
2026 Chevrolet Silverado 2500HD Work Truck,5 Miles,"American Fork, UT","$53,195",https://cars.ksl.com/listing/10388615
2004 Chevrolet Silverado 2500HD,,,"$17,000",https://cars.ksl.com/listing/10353411
2013 Chevrolet Silverado 2500HD Work Truck,"130,948 Miles","Saratoga Springs, UT","$14,950",https://cars.ksl.com/listing/10390611
2004 Chevrolet Silverado 2500HD LS,"55,029 Miles","Orem, UT","$31,995",https://cars.ksl.com/listing/10313074
2010 Chevrolet Silverado 2500HD K2500 HEAVY DUTY LTZ,,,"$14,500",https://cars.ksl.com/listing/10360423
2021 Chevrolet Silverado 2500HD LT,"103,023 Miles","South Salt Lake, UT","$34,990",https://cars.ksl.com/listing/10194207
2021 Chevrolet Silverado 2500HD LT,"172,354 Miles","Nampa, ID","$26,995",https://cars.ksl.com/listing/10389116
2020 Chevrolet Silverado 2500HD Work Truck,"169,395 Miles","Sandy, UT","$21,450",https://cars.ksl.com/listing/10388856
2013 GMC 2500 SLE1,,,"$15,999",https://cars.ksl.com/listing/10387666
2022 GMC 2500 SLE,"106,159 Miles","Sandy, UT","$36,500",https://cars.ksl.com/listing/10387138
2013 Chevrolet Silverado 2500HD LT,,,"$11,500",https://cars.ksl.com/listing/10382593
2004 Chevrolet Silverado 2500HD LS,"258,310 Miles","Provo, UT","$11,999",https://cars.ksl.com/listing/10379959
